dataset,Avg.Epoch (ms)
citeseer, 6.469
cora, 2.207
pubmed, 4.351
ppi, 8.122
PROTEINS_full, 3.749
OVCAR-8H, 158.321
Yeast, 142.530
DD, 30.560
SW-620H, 159.180
amazon0505, 64.097
artist, 12.495
com-amazon, 43.308
soc-BlogCatalog, 14.967
amazon0601, 58.872
