dataset,Avg.Epoch (ms)
citeseer, 1.629
cora, 1.642
pubmed, 2.521
ppi, 8.547
PROTEINS_full, 3.607
OVCAR-8H, 146.858
Yeast, 131.283
DD, 27.258
SW-620H, 147.462
amazon0505, 55.650
artist, 9.748
com-amazon, 38.190
soc-BlogCatalog, 13.210
amazon0601, 51.259
